id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
55263952;Apartamento com 3 Quartos à Venda, 75m²;Candelária, Natal - RN;R$ 424,75;3;1;2;2;R$ 320.000;;;;;;
55288833;Casa com 3 Quartos à Venda, 236m²;Capim Macio, Natal - RN;;236;3;3;1;6;R$ 899.000;;;;;
55379660;Apartamento com 2 Quartos para Venda/Aluguel 55m²;Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN;R$ 230;55;2;1;2;1;R$ 180.000;;;;;
55406452;Casa de condomínio com 6 Quartos à Venda, 600m²;Rua Jaguarari, 4850 - Candelária, Natal - RN;R$ 1.100;600;6;5,7;6;R$ 2.800.000;;;;;;
55423401;Lote/Terreno    à Venda, 3000m²;Rua Alexis Gurgel, 3858 - Capim Macio, Natal - RN;;3000;--;--;--;--;R$ 3.300.000;;;;;
55423478;Imóvel comercial    à Venda/Aluguel 555m²;Avenida Erivan França, 80 - Ponta Negra, Natal - RN;;555,--;--;2;--;R$ 1.000.000;;;;;;
55438113;Apartamento com 3 Quartos à Venda, 123m²;Candelária, Natal - RN;R$ 400;123;3;3;4;2;R$ 470.000;;;;;
55449558;Loja com  Quarto à Venda, 28m²;Ponta Negra, Natal - RN;;28;1,--;1;--;R$ 95.000;;;;;;
55520347;Apartamento com 3 Quartos à Venda, 85m²;Ponta Negra, Natal - RN;;85;3;1;3;2;R$ 450.000;;;;;
55520542;Apartamento com 2 Quartos à Venda, 50m²;Ponta Negra, Natal - RN;R$ 550;50;2;--;1;1;R$ 280.000;;;;;
55594721;Apartamento com 2 Quartos à Venda, 70m²;Rua Doutor Paulo Viveiros, 558 - Petrópolis, Natal - RN;R$ 530;70;2;1;2;1;R$ 160.000;;;;;
55756790;Casa de condomínio com 3 Quartos à Venda, 102m²;Planalto, Natal - RN;;102;3;1;2;2;R$ 220.000;;;;;
55789715;Apartamento com 3 Quartos à Venda/Aluguel 100m²;Rua Abraham Tahim - Capim Macio, Natal - RN;R$ 500;100;3;1;3;2;R$ 450.000;;;;;
55797490;Casa com 5 Quartos à Venda, 230m²;Ponta Negra, Natal - RN;;230;5;5;6;5;R$ 650.000;;;;;
55797509;Apartamento com 2 Quartos à Venda, 65m²;Capim Macio, Natal - RN;R$ 255;65;2;1;1;1;R$ 180.000;;;;;
55799033;Flat com  Quarto à Venda/Aluguel 28m²;Ponta Negra, Natal - RN;R$ 250;28;1,--;1;1;R$ 130.000;;;;;;
55808291;Casa de condomínio com 2 Quartos à Venda, 71m²;Planalto, Natal - RN;;71;2;1;2;2;R$ 150.000;;;;;
55808392;Ponto comercial/Loja/Box com 7 Quartos à Venda/Aluguel 235m²;Rua Mipibu, 410 - Petrópolis, Natal - RN;;235,7;1;2;1;R$ 750.000;;;;;;
55842367;Flat com 2 Quartos à Venda, 66m²;Ponta Negra, Natal - RN;R$ 275;66;2;--;1;1;R$ 320.000;;;;;
55842372;Casa com 6 Quartos à Venda, 480m²;Redinha, Natal - RN;;480;6;4;2;10;R$ 460.000;;;;;
55842403;Casa de condomínio com 4 Quartos à Venda, 160m²;PARNAMIRIM, Natal - RN;R$ 300;160;4;4;5;6;R$ 530.000;;;;;
55901909;Apartamento com 2 Quartos à Venda, 61m²;Planalto, Natal - RN;;61;2;1;2;1;R$ 140.000;;;;;
55936521;Flat com 2 Quartos à Venda, 60m²;Ponta Negra, Natal - RN;;60;2;1;1;1;R$ 250.000;;;;;
55988187;Apartamento com 4 Quartos à Venda/Aluguel 230m²;Rua Raimundo Chaves - Candelária, Natal - RN;R$ 1.200;230;4;4;6;3;R$ 1.000.000;;;;;
55988195;Lote/Terreno    à Venda, 68000m²;dos Caiapós, 1321 - Pitimbu, Natal - RN;;68000;--;--;--;--;R$ 6.800.000;;;;;
