id;titulo;logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;soma_comodos;area_comodo;preco_m2
53948518;Apartamento com 2 Quartos à Venda, 58m²                     ; ;Ponta Negra; Natal-RN                                                   ; 520     ; 000058,00; 0002,00;1  ;1,0;1;360000,0;3,0;0,0517241379;6206,8965517241
53948527;Apartamento com 2 Quartos à Venda, 60m²                     ; ;Lagoa Nova; Natal-RN                                                   ; 156     ; 000060,00; 0002,00;1  ;1,0;1;290000,0;3,0;0,05;4833,3333333333
53948583;Apartamento com 2 Quartos à Venda, 55m²                     ; ;Petrópolis; Natal-RN                                                   ; 550     ; 000055,00; 0002,00;1  ;1,0;1;220000,0;3,0;0,0545454545;4000,0
53948584;Apartamento com 2 Quartos à Venda, 64m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000064,00; 0002,00;1  ;1,0;1;276000,0;3,0;0,046875;4312,5
53948587;Apartamento com 2 Quartos à Venda, 79m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000079,00; 0002,00;1  ;1,0;2;570000,0;3,0;0,0379746835;7215,1898734177
53948597;Apartamento com 3 Quartos à Venda, 94m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000094,00; 0003,00;1  ;1,0;2;350000,0;4,0;0,0425531915;3723,4042553191
53948598;Apartamento com 5 Quartos à Venda, 440m²                    ; ;Lagoa Nova; Natal-RN                                                   ; 2.000   ; 000440,00; 0005,00;5  ;1,0;5;1400000,0;6,0;0,0136363636;3181,8181818182
54042002;Casa de condomínio com 4 Quartos à Venda, 447m²             ; ;Ponta Negra; Natal-RN                                                   ; 400     ; 000447,00; 0004,00;1  ;1,0;3;1700000,0;5,0;0,0111856823;3803,1319910515
54042006;Casa com 4 Quartos à Venda, 354m²                           ; ;Ponta Negra; Natal-RN                                                   ;         ; 000354,00; 0004,00;2  ;1,0;6;750000,0;5,0;0,0141242938;2118,6440677966
54042037;Lote/Terreno com  Quarto à Venda, 3337m²                    ; ;Ponta Negra; Natal-RN                                                   ;         ; 003337,00; 0001,00;   ;1,0;;5500000,0;2,0;0,0005993407;1648,1869943063
54042041;Casa com 3 Quartos à Venda, 267m²                           ; ;Candelária; Natal-RN                                                   ;         ; 000267,00; 0003,00;1  ;2,0;6;730000,0;5,0;0,0187265918;2734,0823970037
54042047;Casa com 4 Quartos à Venda, 300m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000300,00; 0004,00;4  ;2,0;4;690000,0;6,0;0,02;2300,0
54042051;Casa com 6 Quartos à Venda, 415m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000415,00; 0006,00;3  ;1,0;4;790000,0;7,0;0,0168674699;1903,6144578313
54042052;Casa com 5 Quartos à Venda, 518m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000518,00; 0005,00;3  ;3,0;3;1600000,0;8,0;0,0154440154;3088,8030888031
54042058;Casa com 4 Quartos à Venda, 470m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000470,00; 0004,00;3  ;2,0;4;800000,0;6,0;0,0127659574;1702,1276595745
54042060;Flat com 2 Quartos à Venda, 58m²                            ; ;Ponta Negra; Natal-RN                                                   ; 700     ; 000058,00; 0002,00;   ;1,0;1;220000,0;3,0;0,0517241379;3793,1034482759
54042066;Cobertura com 3 Quartos à Venda, 300m²                      ; ;Petrópolis; Natal-RN                                                   ;         ; 000300,00; 0003,00;2  ;1,0;3;1270000,0;4,0;0,0133333333;4233,3333333333
54042069;Casa com 4 Quartos à Venda, 350m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000350,00; 0004,00;2  ;1,0;4;799000,0;5,0;0,0142857143;2282,8571428571
54042072;Casa com 3 Quartos à Venda, 300m²                           ; ;Lagoa Nova; Natal-RN                                                   ;         ; 000300,00; 0003,00;2  ;1,0;3;380000,0;4,0;0,0133333333;1266,6666666667
54042075;Casa com 4 Quartos à Venda, 398m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000398,00; 0004,00;3  ;1,0;4;900000,0;5,0;0,0125628141;2261,3065326633
54042083;Flat com  Quarto à Venda, 30m²                              ; ;Ponta Negra; Natal-RN                                                   ; 900     ; 000030,00; 0001,00;   ;1,0;1;250000,0;2,0;0,0666666667;8333,3333333333
54042094;Casa com 3 Quartos à Venda, 360m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000360,00; 0003,00;1  ;2,0;2;429000,0;5,0;0,0138888889;1191,6666666667
54838389;Apartamento com 4 Quartos à Venda, 238m²                    ; ;Tirol; Natal-RN                                                   ;         ; 000238,00; 0004,00;4  ;1,0;3;1100000,0;5,0;0,0210084034;4621,8487394958
54838390;Apartamento com 2 Quartos à Venda, 60m²                     ; ;Ponta Negra; Natal-RN                                                   ; 200     ; 000060,00; 0002,00;1  ;1,0;2;300000,0;3,0;0,05;5000,0
54838394;Imóvel comercial com 3 Quartos para Venda/Aluguel 400m²     ; ;Capim Macio; Natal-RN                                                   ;         ; 000400,00; 0003,00;1  ;1,0;6;699000,0;4,0;0,01;1747,5
54838395;Apartamento com 3 Quartos à Venda, 192m²                    ; ;Lagoa Nova; Natal-RN                                                   ;         ; 000192,00; 0003,00;3  ;1,0;3;2200000,0;4,0;0,0208333333;11458,3333333333
54838397;Apartamento com 3 Quartos à Venda, 116m²                    ; ;Ponta Negra; Natal-RN                                                   ;         ; 000116,00; 0003,00;3  ;1,0;2;650000,0;4,0;0,0344827586;5603,4482758621
55058511;Lote/Terreno com  Quarto à Venda, 1800m²                    ; ;Pajuçara; Natal-RN                                                   ;         ; 001800,00; 0001,00;   ;1,0;;360000,0;2,0;0,0011111111;200,0
55211294;Casa com 5 Quartos à Venda, 397m²                           ; ;Ponta Negra; Natal-RN                                                   ;         ; 000397,00; 0005,00;3  ;1,0;3;1850000,0;6,0;0,0151133501;4659,9496221662
55251661;Apartamento com 3 Quartos à Venda, 99m²                     ; ;Capim Macio; Natal-RN                                                   ; 770     ; 000099,00; 0003,00;2  ;1,0;2;450000,0;4,0;0,0404040404;4545,4545454545
55288833;Casa com 3 Quartos à Venda, 236m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000236,00; 0003,00;3  ;1,0;6;899000,0;4,0;0,0169491525;3809,3220338983
55438113;Apartamento com 3 Quartos à Venda, 123m²                    ; ;Candelária; Natal-RN                                                   ; 400     ; 000123,00; 0003,00;3  ;4,0;2;470000,0;7,0;0,0569105691;3821,1382113821
55520347;Apartamento com 3 Quartos à Venda, 85m²                     ; ;Ponta Negra; Natal-RN                                                   ;         ; 000085,00; 0003,00;1  ;3,0;2;450000,0;6,0;0,0705882353;5294,1176470588
55520542;Apartamento com 2 Quartos à Venda, 50m²                     ; ;Ponta Negra; Natal-RN                                                   ; 550     ; 000050,00; 0002,00;   ;1,0;1;280000,0;3,0;0,06;5600,0
55756790;Casa de condomínio com 3 Quartos à Venda, 102m²             ; ;Planalto; Natal-RN                                                   ;         ; 000102,00; 0003,00;1  ;2,0;2;220000,0;5,0;0,0490196078;2156,862745098
55797490;Casa com 5 Quartos à Venda, 230m²                           ; ;Ponta Negra; Natal-RN                                                   ;         ; 000230,00; 0005,00;5  ;6,0;5;650000,0;11,0;0,047826087;2826,0869565217
55797509;Apartamento com 2 Quartos à Venda, 65m²                     ; ;Capim Macio; Natal-RN                                                   ; 255     ; 000065,00; 0002,00;1  ;1,0;1;180000,0;3,0;0,0461538462;2769,2307692308
55808291;Casa de condomínio com 2 Quartos à Venda, 71m²              ; ;Planalto; Natal-RN                                                   ;         ; 000071,00; 0002,00;1  ;2,0;2;150000,0;4,0;0,0563380282;2112,676056338
55842367;Flat com 2 Quartos à Venda, 66m²                            ; ;Ponta Negra; Natal-RN                                                   ; 275     ; 000066,00; 0002,00;   ;1,0;1;320000,0;3,0;0,0454545455;4848,4848484848
55842372;Casa com 6 Quartos à Venda, 480m²                           ; ;Redinha; Natal-RN                                                   ;         ; 000480,00; 0006,00;4  ;2,0;10;460000,0;8,0;0,0166666667;958,3333333333
55842403;Casa de condomínio com 4 Quartos à Venda, 160m²             ; ;PARNAMIRIM; Natal-RN                                                   ; 300     ; 000160,00; 0004,00;4  ;5,0;6;530000,0;9,0;0,05625;3312,5
55901909;Apartamento com 2 Quartos à Venda, 61m²                     ; ;Planalto; Natal-RN                                                   ;         ; 000061,00; 0002,00;1  ;2,0;1;140000,0;4,0;0,0655737705;2295,0819672131
55936521;Flat com 2 Quartos à Venda, 60m²                            ; ;Ponta Negra; Natal-RN                                                   ;         ; 000060,00; 0002,00;1  ;1,0;1;250000,0;3,0;0,05;4166,6666666667
55988195;Lote/Terreno    à Venda, 68000m²                            ; ;dos Caiapós; 1321-Pitimbu, Natal                                        ;         ; 068000,00;;   ;;;6800000,0;;;100,0
55988198;Lote/Terreno    à Venda/Aluguel 450m²                       ; ;Raimundo Chaves; 3815-Candelária, Natal                                     ;         ; 000450,00;;   ;;;750000,0;;;1666,6666666667
56025423;Casa de condomínio com 2 Quartos à Venda, 61m²              ; ;Planalto; Natal-RN                                                   ;         ; 000061,00; 0002,00;   ;1,0;1;169900,0;3,0;0,0491803279;2785,2459016393
56028577;Casa com 3 Quartos à Venda, 274m²                           ; ;Capim Macio; Natal-RN                                                   ;         ; 000274,00; 0003,00;2  ;1,0;4;450000,0;4,0;0,0145985401;1642,3357664234
56031120;Casa com 4 Quartos à Venda, 790m²                           ; ;Cidade Jardim; Natal-RN                                                   ;         ; 000790,00; 0004,00;4  ;2,0;8;1800000,0;6,0;0,0075949367;2278,4810126582
56058568;Casa com 3 Quartos à Venda, 112m²                           ; ;Planalto; Natal-RN                                                   ;         ; 000112,00; 0003,00;1  ;2,0;2;220000,0;5,0;0,0446428571;1964,2857142857
56095773;Casa com 3 Quartos à Venda, 393m²                           ; ;PARNAMIRIM; Natal-RN                                                   ;         ; 000393,00; 0003,00;2  ;1,0;5;450000,0;4,0;0,010178117;1145,0381679389
